statename,state,Year,population,density,citi_1,nominate_dim1,Incumbent_D,Incumbent_R,PD,PR,South_ext,counter,favsonD,stategdp,stategdp_percap,counter2,spline,uni_dem,Tashijan
Washington,47,1976,3409169,51.3,71.79954529,0.36524999,0,0,0,0,0,2,0,29282000000,8589.189917,8,-426.66666,0,0
West Virginia,48,1976,1744237,72.6,49.23109436,0.30683333,0,0,1,1,1,2,0,11973000000,6864.31947,8,-426.66666,0,0
Wisconsin,49,1976,4417731,81.6,62.50439835,0.44355553,0,0,1,1,0,2,0,32295000000,7310.313824,8,-426.66666,1,0
Wyoming,50,1976,332416,3.4,31.7882843,0.34849998,0,0,0,0,0,2,0,3982600000,11980.77108,8,-426.66666,0,0
Alabama,1,1980,3893888,76.9,29.83551788,0.13599999,1,0,1,1,1,0,0,33711900000,8657.645007,0,0,1,0
Alaska,2,1980,401851,0.7,41.83322525,0.28400001,1,0,0,0,0,3,0,10891400000,27103.0805,12,-1376,0,0
Arizona,3,1980,2718215,23.9,21.29393768,0.091333337,1,0,0,0,0,3,0,27495400000,10115.24107,12,-1376,0,0
Arkansas,4,1980,2286435,43.9,33.91094208,0.33700001,1,0,1,0,1,0,0,19099100000,8353.222375,0,0,1,0
California,5,1980,23667902,151.9,50.04773331,0.45659259,1,0,1,1,0,3,1,2.93E+11,12400.3978,12,-1376,1,0
Colorado,6,1980,2889964,27.9,44.6804924,0.3175,1,0,0,0,0,3,0,33784700000,11690.35324,12,-1376,0,0
Connecticut,7,1980,3107576,641.7,73.12711334,0.33399999,1,0,1,1,0,3,0,36854500000,11859.56514,12,-1376,1,0
Delaware,8,1980,594338,305,44.21767807,0.31400001,1,0,0,0,0,3,0,7304200000,12289.6399,12,-1376,0,0
Florida,9,1980,9746324,181.8,30.86329651,0.21778572,1,0,1,1,0,3,0,86263000000,8850.824167,12,-1376,1,0
Georgia,10,1980,5463105,95,20.15982628,0.019090908,1,0,1,1,1,0,1,51550000000,9436.02585,0,0,1,0
Hawaii,11,1980,964691,150.2,49.62852478,0.34650001,1,0,0,0,0,3,0,11869000000,12303.42151,12,-1376,1,0
Idaho,12,1980,943935,11.4,23.70716095,0.384,1,0,0,1,0,0,0,9285900000,9837.43584,0,0,0,0
Illinois,13,1980,11426518,205.8,50.41311264,0.41683334,1,0,1,1,0,0,0,1.39E+11,12186.80091,0,0,0,0
Indiana,14,1980,5490224,153.2,40.12058258,0.220375,1,0,1,1,0,3,0,57917500000,10549.20528,12,-1376,0,0
Iowa,15,1980,2913808,52.2,45.04454422,0.3285,1,0,0,0,0,3,0,33496000000,11495.60987,12,-1376,0,0
Kansas,16,1980,2363679,28.9,32.69921494,0.133,1,0,1,1,0,3,0,26300400000,11126.8916,12,-1376,0,0
Kentucky,17,1980,3660777,92.7,36.6405983,0.241,1,0,1,1,1,3,0,35838000000,9789.724968,12,-1376,1,0
Louisiana,18,1980,4205900,97.3,22.58218575,0.1565,1,0,1,1,1,3,0,51653200000,12281.12889,12,-1376,1,0
Maine,19,1980,1124660,36.5,53.13285828,0.36300001,1,0,0,0,0,3,0,9335000000,8300.286309,12,-1376,0,0
Maryland,20,1980,4216975,434.4,59.74798584,0.32571429,1,0,1,1,0,3,0,43627700000,10345.73361,12,-1376,1,0
Massachusetts,21,1980,5737037,735.5,78.58565521,0.38949999,1,0,1,1,0,3,1,62964500000,10975.09045,12,-1376,1,0
Michigan,22,1980,9262078,163.8,58.87391281,0.43893749,1,0,0,1,0,3,0,1.05E+11,11381.18249,12,-1376,0,0
Minnesota,23,1980,4075970,51.2,56.62048721,0.47825,1,0,0,0,0,3,0,46861200000,11496.94429,12,-1376,0,0
Mississippi,24,1980,2520638,53.7,11.92552376,0.083499998,1,0,0,1,1,3,0,20010800000,7938.783752,12,-1376,1,0
Missouri,25,1980,4916686,71.5,41.98057938,0.32577777,1,0,0,0,0,3,0,50600700000,10291.62733,12,-1376,1,0
Montana,26,1980,786690,5.4,53.60785675,0.28533334,1,0,1,1,0,0,0,8172500000,10388.46305,0,0,0,0
Nebraska,27,1980,1569825,20.4,31.38100052,0.18033333,1,0,1,1,0,3,0,17422900000,11098.62564,12,-1376,0,0
Nevada,28,1980,800493,7.3,21.97628593,0.1425,1,0,1,1,0,0,0,10294900000,12860.69959,0,0,0,0
New Hampshire,29,1980,920610,102.8,37.7613678,0.30000001,1,0,1,1,0,3,0,8351200000,9071.376587,12,-1376,0,0
New Jersey,30,1980,7364823,"1,001.40",64.75930786,0.34891665,1,0,1,1,0,3,0,81050600000,11005.09815,12,-1376,1,0
New Mexico,31,1980,1302894,10.7,12.30188942,-0.090999998,1,0,1,1,0,0,0,13140500000,10085.62477,0,0,1,0
New York,32,1980,17558072,372.6,61.65207672,0.39996296,1,0,1,1,0,3,0,2.18E+11,12400.2567,12,-1376,0,0
North Carolina,33,1980,5881766,121,24.21839905,0.2042,1,0,1,1,1,3,0,54514700000,9268.423803,12,-1376,1,0
North Dakota,34,1980,652717,9.5,42.290905,0.37099999,1,0,0,0,0,3,0,7218400000,11059.00413,12,-1376,0,0
Ohio,35,1980,10797630,264.3,46.77157974,0.315,1,0,1,1,0,3,0,1.17E+11,10846.57466,12,-1376,0,0
Oklahoma,36,1980,3025290,44.1,22.31111526,0.16500001,1,0,0,0,1,3,0,31546300000,10427.52926,12,-1376,1,0
Oregon,37,1980,2633105,27.4,57.13175964,0.3125,1,0,1,1,0,3,0,28372400000,10775.26342,12,-1376,0,0
Pennsylvania,38,1980,11863895,265.2,49.93015671,0.29225001,1,0,1,1,0,3,0,1.21E+11,10159.17622,12,-1376,0,0
Rhode Island,39,1980,947154,916.2,69.45392609,0.32433334,1,0,1,1,0,3,0,8844600000,9338.080185,12,-1376,1,0
South Carolina,40,1980,3121820,103.9,28.66203117,0.26300001,1,0,0,0,1,3,0,25506700000,8170.458258,12,-1376,1,0
South Dakota,41,1980,690768,9.1,53.95739365,0.43800002,1,0,1,1,0,3,0,6715900000,9722.366989,12,-1376,0,0
Tennessee,42,1980,4591120,111.3,40.45122528,0.27333334,1,0,1,1,1,3,0,42194000000,9190.350067,12,-1376,0,0
Texas,43,1980,14229191,54.5,22.79963875,0.20152381,1,0,1,1,1,0,0,1.72E+11,12060.24995,0,0,0,0
Utah,44,1980,1461037,17.8,18.27813339,0.25400001,1,0,0,0,0,3,0,13708700000,9382.856149,12,-1376,0,0
Vermont,45,1980,511456,55.5,71.11643982,0.37,1,0,1,1,0,3,0,4398600000,8600.153288,12,-1376,0,0
Virginia,46,1980,5346818,135.4,20.23410416,0.049000006,1,0,0,0,1,3,0,53397800000,9986.837031,12,-1376,0,0
Washington,47,1980,4132156,62.2,54.84112167,0.35025001,1,0,0,0,0,3,0,48712700000,11788.68852,12,-1376,0,0
West Virginia,48,1980,1949644,81.1,47.19655228,0.29414284,1,0,1,1,1,3,0,17424400000,8937.221359,12,-1376,1,0
Wisconsin,49,1980,4705767,86.9,54.12539291,0.4585,1,0,1,1,0,3,0,50100800000,10646.68098,12,-1376,0,0
Wyoming,50,1980,469557,4.8,32.84296036,0.34849998,1,0,0,0,0,3,0,8062700000,17170.8653,12,-1376,0,0
Alabama,1,1984,3893888,76.9,35.09223175,0.09533333,0,1,1,1,1,1,0,45678600000,11730.84588,4,-53.333332,1,0
Alaska,2,1984,401851,0.7,44.55486298,0.28400001,0,1,0,0,0,4,0,22591200000,56217.85189,16,-2901.3333,0,0
Arizona,3,1984,2718215,23.9,38.63868332,0.29966667,0,1,0,0,0,4,0,39774000000,14632.39663,16,-2901.3333,0,0
Arkansas,4,1984,2286435,43.9,41.13545609,0.33700001,0,1,0,0,1,1,0,25291900000,11061.71835,4,-53.333332,1,0
California,5,1984,23667902,151.9,50.12256241,0.456,0,1,1,1,0,4,0,4.26E+11,18005.11089,16,-2901.3333,0,0
Colorado,6,1984,2889964,27.9,42.48664474,0.3175,0,1,0,0,0,4,1,50717600000,17549.56117,16,-2901.3333,0,0
Connecticut,7,1984,3107576,641.7,73.02814484,0.3682,0,1,1,0,0,0,0,55528100000,17868.62172,0,0,1,0
Delaware,8,1984,594338,305,45.18299866,0.24450001,0,1,0,0,0,4,0,10611000000,17853.47731,16,-2901.3333,0,0
Florida,9,1984,9746324,181.8,37.51832199,0.21250001,0,1,1,1,0,4,0,1.37E+11,14032.80868,16,-2901.3333,1,0
Georgia,10,1984,5463105,95,29.69035339,0.026636364,0,1,1,1,1,1,0,76737600000,14046.5175,4,-53.333332,1,0
Hawaii,11,1984,964691,150.2,70.98988342,0.34650001,0,1,0,0,0,4,0,17260300000,17892.05041,16,-2901.3333,1,0
Idaho,12,1984,943935,11.4,22.93154907,0.384,0,1,1,1,0,0,0,11834200000,12537.09207,0,0,0,0
Illinois,13,1984,11426518,205.8,53.43735504,0.4177143,0,1,1,1,0,1,0,1.73E+11,15150.66095,4,-53.333332,0,0
Indiana,14,1984,5490224,153.2,46.31351852,0.25439999,0,1,1,1,0,4,0,69334800000,12628.77435,16,-2901.3333,0,0
Iowa,15,1984,2913808,52.2,48.93241882,0.30133334,0,1,0,0,0,4,0,37480800000,12863.16737,16,-2901.3333,0,0
Kansas,16,1984,2363679,28.9,35.4473381,0.116,0,1,0,0,0,0,0,35257100000,14916.19632,0,0,0,0
Kentucky,17,1984,3660777,92.7,47.88339615,0.241,0,1,0,0,1,0,0,44091800000,12044.38293,0,0,1,0
Louisiana,18,1984,4205900,97.3,29.8156662,0.127875,0,1,1,1,1,0,0,76880600000,18279.2268,0,0,0,0
Maine,19,1984,1124660,36.5,61.9696312,0.347,0,1,0,0,0,4,0,13238600000,11771.20196,16,-2901.3333,1,0
Maryland,20,1984,4216975,434.4,64.17375946,0.30700001,0,1,1,1,0,4,0,62205100000,14751.11899,16,-2901.3333,1,0
Massachusetts,21,1984,5737037,735.5,74.83087921,0.39591667,0,1,1,1,0,4,0,93053600000,16219.80127,16,-2901.3333,1,0
Michigan,22,1984,9262078,163.8,60.72570038,0.42614287,0,1,0,0,0,0,0,1.28E+11,13793.23301,0,0,1,0
Minnesota,23,1984,4075970,51.2,58.27758026,0.36179999,0,1,0,0,0,4,1,61950400000,15198.93424,16,-2901.3333,1,0
Mississippi,24,1984,2520638,53.7,29.57356834,0.11475,0,1,0,0,1,4,0,25967300000,10301.87595,16,-2901.3333,1,0
Missouri,25,1984,4916686,71.5,52.95508957,0.34557143,0,1,0,0,0,4,0,65538000000,13329.7103,16,-2901.3333,0,0
Montana,26,1984,786690,5.4,46.80391693,0.28533334,0,1,1,1,0,1,0,10583700000,13453.45689,4,-53.333332,0,0
Nebraska,27,1984,1569825,20.4,19.578228,0.15450001,0,1,1,1,0,4,0,21820000000,13899.63849,16,-2901.3333,1,0
Nevada,28,1984,800493,7.3,36.44897461,0.27599999,0,1,0,0,0,1,0,15059800000,18813.15639,4,-53.333332,1,0
New Hampshire,29,1984,920610,102.8,36.65373993,0.17,0,1,1,1,0,4,0,12629200000,13718.29548,16,-2901.3333,0,0
New Jersey,30,1984,7364823,"1,001.40",67.22895813,0.3260909,0,1,1,1,0,4,0,1.18E+11,16016.94976,16,-2901.3333,0,0
New Mexico,31,1984,1302894,10.7,50.52857971,0.29350001,0,1,1,1,0,0,0,19882200000,15260.02883,0,0,1,0
New York,32,1984,17558072,372.6,61.44132614,0.40252382,0,1,1,1,0,4,0,3.05E+11,17387.32476,16,-2901.3333,0,0
North Carolina,33,1984,5881766,121,36.11636734,0.20066667,0,1,1,1,1,4,0,77543000000,13183.62546,16,-2901.3333,1,0
North Dakota,34,1984,652717,9.5,73.870224,0.31900001,0,1,1,1,0,4,0,10045500000,15390.284,16,-2901.3333,0,0
Ohio,35,1984,10797630,264.3,53.84260941,0.33175001,0,1,1,1,0,4,0,1.45E+11,13419.29664,16,-2901.3333,1,0
Oklahoma,36,1984,3025290,44.1,35.46139908,0.13716666,0,1,0,0,1,4,0,47700900000,15767.38098,16,-2901.3333,1,0
Oregon,37,1984,2633105,27.4,56.52190399,0.28733334,0,1,1,1,0,4,0,33727300000,12808.94609,16,-2901.3333,0,0
Pennsylvania,38,1984,11863895,265.2,57.63808441,0.33207691,0,1,1,1,0,4,0,1.52E+11,12815.51295,16,-2901.3333,0,0
Rhode Island,39,1984,947154,916.2,73.42854309,0.34349999,0,1,1,1,0,4,0,12323200000,13010.76699,16,-2901.3333,1,0
